Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
update_account_info,Chrome 70.0.3538.77,,2018-11-13 13:54:23,2018-11-13 13:54:37,14.131s,FAILED
,,,,,,
Test Cases/Login Page,Chrome 70.0.3538.77,,2018-11-13 13:54:23,2018-11-13 13:54:32,8.883s,PASSED
comment,Chrome 70.0.3538.77,,2018-11-13 13:54:23,2018-11-13 13:54:23,0.048s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-11-13 13:54:23,2018-11-13 13:54:27,3.381s,PASSED
maximizeWindow,Chrome 70.0.3538.77,,2018-11-13 13:54:27,2018-11-13 13:54:28,1.139s,PASSED
navigateToUrl,Chrome 70.0.3538.77,JIN URL,2018-11-13 13:54:28,2018-11-13 13:54:29,0.948s,PASSED
setText,Chrome 70.0.3538.77,Enter 'Email',2018-11-13 13:54:29,2018-11-13 13:54:31,1.574s,PASSED
setEncryptedText,Chrome 70.0.3538.77,Enter 'Password',2018-11-13 13:54:31,2018-11-13 13:54:31,0.352s,PASSED
click,Chrome 70.0.3538.77,"Click ""Login "" button",2018-11-13 13:54:31,2018-11-13 13:54:31,0.274s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,Verify Sucessful Login ,2018-11-13 13:54:31,2018-11-13 13:54:32,0.817s,PASSED
,,,,,,
Test Cases/Profile,Chrome 70.0.3538.77,Update profile,2018-11-13 13:54:32,2018-11-13 13:54:34,2.045s,PASSED
comment,Chrome 70.0.3538.77,,2018-11-13 13:54:32,2018-11-13 13:54:32,0.003s,PASSED
click,Chrome 70.0.3538.77,Click on drow-arrow icon on top right corner,2018-11-13 13:54:32,2018-11-13 13:54:33,0.643s,PASSED
click,Chrome 70.0.3538.77,Click 'Profile',2018-11-13 13:54:33,2018-11-13 13:54:33,0.280s,PASSED
click,Chrome 70.0.3538.77,Click 'Create',2018-11-13 13:54:33,2018-11-13 13:54:34,0.470s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,Verify profile update page ,2018-11-13 13:54:34,2018-11-13 13:54:34,0.362s,PASSED
,,,,,,
Test Cases/account_info,Chrome 70.0.3538.77,TO UPDATE ACCOUNT INFORMATION OF LOGGED IN USER,2018-11-13 13:54:34,2018-11-13 13:54:36,2.086s,FAILED
click,Chrome 70.0.3538.77,,2018-11-13 13:54:34,2018-11-13 13:54:35,0.208s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-13 13:54:35,2018-11-13 13:54:35,0.386s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-13 13:54:35,2018-11-13 13:54:35,0.292s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-13 13:54:35,2018-11-13 13:54:36,0.358s,PASSED
click,Chrome 70.0.3538.77,,2018-11-13 13:54:36,2018-11-13 13:54:36,0.462s,FAILED
