Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
update_basic_info,Chrome 70.0.3538.77,,2018-11-12 18:37:44,2018-11-12 18:38:08,23.498s,PASSED
,,,,,,
Test Cases/Login Page,Chrome 70.0.3538.77,,2018-11-12 18:37:45,2018-11-12 18:37:55,10.639s,PASSED
comment,Chrome 70.0.3538.77,,2018-11-12 18:37:45,2018-11-12 18:37:45,0.066s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-11-12 18:37:45,2018-11-12 18:37:49,3.594s,PASSED
maximizeWindow,Chrome 70.0.3538.77,,2018-11-12 18:37:49,2018-11-12 18:37:50,1.147s,PASSED
navigateToUrl,Chrome 70.0.3538.77,JIN URL,2018-11-12 18:37:50,2018-11-12 18:37:52,1.875s,PASSED
setText,Chrome 70.0.3538.77,Enter 'Email',2018-11-12 18:37:52,2018-11-12 18:37:53,1.710s,PASSED
setEncryptedText,Chrome 70.0.3538.77,Enter 'Password',2018-11-12 18:37:53,2018-11-12 18:37:54,0.416s,PASSED
click,Chrome 70.0.3538.77,"Click ""Login "" button",2018-11-12 18:37:54,2018-11-12 18:37:54,0.314s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,Verify Sucessful Login ,2018-11-12 18:37:54,2018-11-12 18:37:55,1.128s,PASSED
,,,,,,
Test Cases/Profile,Chrome 70.0.3538.77,Update profile,2018-11-12 18:37:55,2018-11-12 18:37:58,2.530s,PASSED
comment,Chrome 70.0.3538.77,,2018-11-12 18:37:56,2018-11-12 18:37:56,0.002s,PASSED
click,Chrome 70.0.3538.77,Click on drow-arrow icon on top right corner,2018-11-12 18:37:56,2018-11-12 18:37:56,0.552s,PASSED
click,Chrome 70.0.3538.77,Click 'Profile',2018-11-12 18:37:56,2018-11-12 18:37:57,0.343s,PASSED
click,Chrome 70.0.3538.77,Click 'Create',2018-11-12 18:37:57,2018-11-12 18:37:57,0.747s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,Verify profile update page ,2018-11-12 18:37:57,2018-11-12 18:37:58,0.529s,PASSED
,,,,,,
Test Cases/basic_info,Chrome 70.0.3538.77,Update Basic info of user,2018-11-12 18:37:58,2018-11-12 18:38:07,9.066s,PASSED
comment,Chrome 70.0.3538.77,,2018-11-12 18:37:58,2018-11-12 18:37:58,0.002s,PASSED
setText,Chrome 70.0.3538.77,Address 1,2018-11-12 18:37:58,2018-11-12 18:37:59,0.667s,PASSED
setText,Chrome 70.0.3538.77,Address 2,2018-11-12 18:37:59,2018-11-12 18:38:00,0.584s,PASSED
setText,Chrome 70.0.3538.77,City,2018-11-12 18:38:00,2018-11-12 18:38:00,0.432s,PASSED
setText,Chrome 70.0.3538.77,State,2018-11-12 18:38:00,2018-11-12 18:38:01,0.424s,PASSED
setText,Chrome 70.0.3538.77,Pin-code,2018-11-12 18:38:01,2018-11-12 18:38:01,0.409s,PASSED
setText,Chrome 70.0.3538.77,Emergency Contact Number,2018-11-12 18:38:01,2018-11-12 18:38:01,0.442s,PASSED
setText,Chrome 70.0.3538.77,Emergency Contact Relationship,2018-11-12 18:38:01,2018-11-12 18:38:02,0.338s,PASSED
click,Chrome 70.0.3538.77,Click 'Update' button,2018-11-12 18:38:02,2018-11-12 18:38:02,0.172s,PASSED
delay,Chrome 70.0.3538.77,,2018-11-12 18:38:02,2018-11-12 18:38:07,5.022s,PASSED
