Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
update_personal_info,Chrome 70.0.3538.77,TO UPDATE PERSONAL INFORMATION OF LOGGED IN USER,2018-11-13 11:34:48,2018-11-13 11:36:56,2m - 8.060s,FAILED
,,,,,,
Test Cases/Login Page,Chrome 70.0.3538.77,,2018-11-13 11:34:48,2018-11-13 11:35:51,1m - 2.459s,FAILED
comment,Chrome 70.0.3538.77,,2018-11-13 11:34:49,2018-11-13 11:34:49,0.082s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-11-13 11:34:49,2018-11-13 11:34:53,4.224s,PASSED
maximizeWindow,Chrome 70.0.3538.77,,2018-11-13 11:34:53,2018-11-13 11:34:54,1.157s,PASSED
navigateToUrl,Chrome 70.0.3538.77,JIN URL,2018-11-13 11:34:54,2018-11-13 11:35:16,21.717s,PASSED
setText,Chrome 70.0.3538.77,Enter 'Email',2018-11-13 11:35:16,2018-11-13 11:35:18,1.754s,PASSED
setEncryptedText,Chrome 70.0.3538.77,Enter 'Password',2018-11-13 11:35:18,2018-11-13 11:35:18,0.414s,PASSED
click,Chrome 70.0.3538.77,"Click ""Login "" button",2018-11-13 11:35:18,2018-11-13 11:35:18,0.190s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,Verify Sucessful Login ,2018-11-13 11:35:18,2018-11-13 11:35:51,32.507s,FAILED
,,,,,,
Test Cases/Profile,Chrome 70.0.3538.77,Update profile,2018-11-13 11:35:51,2018-11-13 11:36:23,32.114s,FAILED
comment,Chrome 70.0.3538.77,,2018-11-13 11:35:51,2018-11-13 11:35:51,0.002s,PASSED
click,Chrome 70.0.3538.77,Click on drow-arrow icon on top right corner,2018-11-13 11:35:51,2018-11-13 11:36:23,31.844s,FAILED
,,,,,,
Test Cases/Personal_info,Chrome 70.0.3538.77,TO UPDATE PERSONAL INFORMATION OF LOGGED IN USER,2018-11-13 11:36:23,2018-11-13 11:36:55,32.084s,FAILED
comment,Chrome 70.0.3538.77,,2018-11-13 11:36:23,2018-11-13 11:36:23,0.001s,PASSED
click,Chrome 70.0.3538.77,,2018-11-13 11:36:23,2018-11-13 11:36:55,31.847s,FAILED
