Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
update_profile,,TO UPDATE BASIC/PERSONAL/ACCOUNT/ACADEMIC INFORMATION,2018-11-13 14:37:28,2018-11-13 14:37:37,8.626s,FAILED
,,,,,,
Test Cases/Login Page,,,2018-11-13 14:37:29,2018-11-13 14:37:34,5.866s,FAILED
comment,,,2018-11-13 14:37:29,2018-11-13 14:37:29,0.131s,PASSED
openBrowser,,,2018-11-13 14:37:29,2018-11-13 14:37:34,5.037s,FAILED
,,,,,,
Test Cases/Profile,,Update profile,2018-11-13 14:37:34,2018-11-13 14:37:35,0.559s,FAILED
comment,,,2018-11-13 14:37:35,2018-11-13 14:37:35,0.002s,PASSED
click,,Click on drow-arrow icon on top right corner,2018-11-13 14:37:35,2018-11-13 14:37:35,0.069s,FAILED
,,,,,,
Test Cases/basic_info,,Update Basic info of user,2018-11-13 14:37:35,2018-11-13 14:37:36,0.584s,FAILED
comment,,,2018-11-13 14:37:35,2018-11-13 14:37:35,0.003s,PASSED
setText,,Address 1,2018-11-13 14:37:35,2018-11-13 14:37:36,0.072s,FAILED
,,,,,,
Test Cases/Academic_info,,UPDATE LOGGED IN USER ACADEMIC INFORMATION,2018-11-13 14:37:36,2018-11-13 14:37:36,0.269s,FAILED
comment,,,2018-11-13 14:37:36,2018-11-13 14:37:36,0.002s,PASSED
click,,Click 'Academic Inforomation' tab,2018-11-13 14:37:36,2018-11-13 14:37:36,0.014s,FAILED
,,,,,,
Test Cases/Personal_info,,TO UPDATE PERSONAL INFORMATION OF LOGGED IN USER,2018-11-13 14:37:36,2018-11-13 14:37:36,0.287s,FAILED
comment,,,2018-11-13 14:37:36,2018-11-13 14:37:36,0.002s,PASSED
click,,"Click ""Personal Information' tab

",2018-11-13 14:37:36,2018-11-13 14:37:36,0.007s,FAILED
,,,,,,
Test Cases/account_info,,TO UPDATE ACCOUNT INFORMATION OF LOGGED IN USER,2018-11-13 14:37:36,2018-11-13 14:37:37,0.372s,FAILED
comment,,,2018-11-13 14:37:36,2018-11-13 14:37:36,0.003s,PASSED
click,,"Click 'Account Information' tab
",2018-11-13 14:37:36,2018-11-13 14:37:36,0.011s,FAILED
